restaurant_name,name,rating,review
Bakso Agung Wahidin,Suria Nataadmadja,4.0,"Quite tasty and delicious meatballs. Tasty soup and it came quickly hot, the way we liked it. Good choice to have it for breakfast or lunch. Fast service"
Bakso Agung Wahidin,Raden Arief Nugroho,3.0,"Just passed by. Can't really review. Please don't use my rating as a decisive basis. The fact is I actually ate at the adjacent restaurant, a 'sate kambing' restaurant. But based on the promotion board, the meatball of this restaurant looks nice and complete. That's all I know. Just come and taste it by yourselves."
Bakso Agung Wahidin,Kiera Kiera,4.0,The meatballs are great. The place is actually clean except for the toilet. The toilet is a bit smelly. And it bothers me that the wash basin is located inside that smelly toilet.
Bakso Agung Wahidin,Agnes Kartika,3.0,"Taste is so so, price is acceptable. Nothing special. Gorengan is good, but pangsit is too oily..."
Bakso Agung Wahidin,Victorio Sukamto,5.0,"Prime quality, clean place, good and fast service, one of the best meatball in Semarang and has a lot of bakso (meat ball) variations."
Bakso Agung Wahidin,MS,4.0,My fave bakso in Smg... a bit pricey but worth the taste. Quiet place too so itz perfect for me
Bakso Agung Wahidin,Arthop Sagita,5.0,"Delicious bakso, comfortable place, affordable price"
Bakso Agung Wahidin,Muchmammad Ichwan (Pyxis),5.0,Ok
Bakso Agung Wahidin,Patrick Darmawan,5.0,Great food for meatball lover. Nice place
Bakso Agung Wahidin,william febuana,5.0,Must try
Bakso Agung Wahidin,Mudjiardjo Mardiutama,5.0,Specific meat Ball soup from Salatiga
Bakso Agung Wahidin,Sarwin Henry,3.0,Taste can be improved.
Bakso Agung Wahidin,eve tan,5.0,Always consistent. Always yummy
Bakso Agung Wahidin,Arif Harmoko,5.0,Ok
Bakso Agung Wahidin,Luby Fajar,5.0,"Nice place, nine food"
Bakso Agung Wahidin,Janice Sugatan,4.0,Good food
Bakso Agung Wahidin,Seventh Mount,5.0,Delicious and suprising food...
Bakso Agung Wahidin,antok tok,5.0,Ok
Bakso Agung Wahidin,Lia Angelin Adriana,5.0,Love it!
Bakso Agung Wahidin,Bonifasia Ananda Putri,5.0,Good
Bakso Agung Wahidin,lelaki kecil,5.0,Good place for family
Bakso Agung Wahidin,BooDee CountDay,5.0,Ok
Bakso Agung Wahidin,Event semarang,5.0,Top
Bakso Agung Wahidin,Fanny Kusumawati,5.0,Delicious.😋😋😋😋😋
Bakso Agung Wahidin,rachel girsang,4.0,"(Translated by Google) The tendon meatballs are pollll... the smooth meatballs are delicious, the wonton crackers are ok, the soup is clear, the taste is really tasty. If I like the murky meatball sauce, it's actually like Samrat solo meatballs, but this is really delicious. Standard price, yes. (Original) Bakso uratnya daging pollll... bakso halusnya enak, kerupuk pangsit ok, kuahnya bening rasa gurih banget. Kalau saya suka kuah bakso yang keruh sebenernya kaya macam bakso solo samrat tapi ini enak kok. Harga standar ya."
Bakso Agung Wahidin,Getphysio Semarang,2.0,"(Translated by Google) It's a disappointing experience... lousy SOP..!!!! Thursday 5th May at 18:35. Order a complete jumbo meatball.. it can only be served at 19.04, it's crazy how long it takes. The service is nervous... and already complaining. When my liang tea was served, I asked what made me wait so long... the answer was Ms. Assyuuuu, this gimikkk is outrageous... cook, yes, the important components in meatballs are just so ridiculous... Please improve the management of the great meatball at dr. Wahidin.... One more thing on the menu, the price for complete meatballs is jumbo 38 but on the board the price is 42... (Original) Ini pengalaman yg mengecewakan... SOP yang payah..!!!! Kamis 5mei jam 18.35. Pesan bakso komplit jumbo ..penyajian nya baru bisa di jam 19.04 gilaaa lama banget mana Pelayanannya pada gugup...dan sudah pada yg komplain. Ketika minuman liang teh saya disajikan saya tanya,apa yg membuat saya menunggu lama...jawab mbak nya..kuah nya belom matang.... Assyuuuuu gimikkk nya keterlaluan ini...masakk iya komponen penting dalam bakso aja sampai konyol gini... Please manajemen bakso agung di dr.wahidin di perbaiki.... Satu lagi di menu harga nya bakso komplit jumbo 38 tapi di papan board nya harga 42..."
